name,handedness,Height Groups,height,weight groups,weight,batting average,home run
Ramon Manon,Right,70-74,72,140 -159,150,0.000,0
Ramon Pena,Right,70-74,70,140 -159,155,0.000,0
Francisco Barrios,Right,70-74,71,140 -159,155,0.000,0
Bill Wilkinson,Right,70-74,70,160 - 179,160,0.000,0
Narciso Elvira,Left,70-74,70,160 - 179,160,0.000,0
Rafael Vasquez,Right,70-74,72,160 - 179,160,0.000,0
Tony Ferreira,Left,70-74,73,160 - 179,160,0.000,0
Win Remmerswaal,Right,70-74,74,160 - 179,160,0.000,0
Angel Moreno,Left,65-69,69,160 - 179,165,0.000,0
Brian Dubois,Left,70-74,70,160 - 179,165,0.000,0
Jim Wright,Right,70-74,73,160 - 179,165,0.000,0
Israel Sanchez,Left,65-69,69,160 - 179,170,0.000,0
Todd Fischer,Right,70-74,70,160 - 179,170,0.000,0
Tony Arnold,Right,70-74,71,160 - 179,170,0.000,0
Bill Castro,Right,70-74,71,160 - 179,170,0.000,0
Paul Wilmet,Right,70-74,71,160 - 179,170,0.000,0
De Wayne Buice,Right,70-74,72,160 - 179,170,0.000,0
Tom Brown,Right,70-74,73,160 - 179,170,0.000,0
Luis Sanchez,Right,70-74,74,160 - 179,170,0.000,0
Charlie Mitchell,Right,75-79,75,160 - 179,170,0.000,0
Ike Brookens,Right,75-79,77,160 - 179,170,0.000,0
Oswaldo Peraza,Right,75-79,76,160 - 179,172,0.000,0
Barry Raziano,Both,70-74,70,160 - 179,175,0.000,0
Len Whitehouse,Left,70-74,71,160 - 179,175,0.000,0
Lafayette Currence,Both,70-74,71,160 - 179,175,0.000,0
Craig Eaton,Right,70-74,71,160 - 179,175,0.000,0
Jim Campbell,Left,70-74,71,160 - 179,175,0.000,0
Jose Roman,Right,70-74,72,160 - 179,175,0.000,0
Pat Underwood,Left,70-74,72,160 - 179,175,0.000,0
Roy Branch,Right,70-74,72,160 - 179,175,0.000,0
Bob Veselic,Right,70-74,72,160 - 179,175,0.000,0
Bill Mooneyham,Right,70-74,72,160 - 179,175,0.000,0
Bill Paschall,Right,70-74,72,160 - 179,175,0.000,0
John Bohnet,Both,70-74,72,160 - 179,175,0.000,0
John Flinn,Right,70-74,72,160 - 179,175,0.000,0
Jerry Kutzler,Left,70-74,73,160 - 179,175,0.000,0
Brian Allard,Right,70-74,73,160 - 179,175,0.000,0
Mike Warren,Right,70-74,73,160 - 179,175,0.000,0
Clint Zavaras,Right,70-74,73,160 - 179,175,0.000,0
Byron McLaughlin,Right,70-74,73,160 - 179,175,0.000,0
Jeff Sellers,Right,70-74,73,160 - 179,175,0.000,0
Don Gordon,Right,70-74,73,160 - 179,175,0.000,0
John Pawlowski,Right,70-74,74,160 - 179,175,0.000,0
Jack Hardy,Right,70-74,74,160 - 179,175,0.000,0
Luis Quintana,Left,70-74,74,160 - 179,175,0.000,0
Curt Kaufman,Right,70-74,74,160 - 179,175,0.000,0
Danny Fife,Right,75-79,75,160 - 179,175,0.000,0
Juan Nieves,Left,75-79,75,160 - 179,175,0.000,0
Eric Hetzel,Right,75-79,75,160 - 179,175,0.000,0
Dave Rajsich,Left,75-79,77,160 - 179,175,0.000,0
Tony Mack,Right,70-74,70,160 - 179,177,0.000,0
Tony Chevez,Right,70-74,71,160 - 179,177,0.000,0
Luis Encarnacion,Right,70-74,70,160 - 179,178,0.000,0
Bruce Taylor,Right,70-74,72,160 - 179,178,0.000,0
Allan Ramirez,Right,70-74,70,180-199,180,0.000,0
Leon Hooten,Right,70-74,71,180-199,180,0.000,0
Jose Cecena,Right,70-74,71,180-199,180,0.000,0
Carlos Velazquez,Right,70-74,71,180-199,180,0.000,0
Glen Cook,Right,70-74,71,180-199,180,0.000,0
De Wayne Vaughn,Right,70-74,71,180-199,180,0.000,0
Dewey Robinson,Right,70-74,72,180-199,180,0.000,0
Mark Souza,Left,70-74,72,180-199,180,0.000,0
Mark Ciardi,Right,70-74,72,180-199,180,0.000,0
Dennis Burtt,Right,70-74,72,180-199,180,0.000,0
Bruce Ellingsen,Left,70-74,72,180-199,180,0.000,0
Tom McCarthy,Right,70-74,72,180-199,180,0.000,0
Mike Trujillo,Right,70-74,73,180-199,180,0.000,0
Terry Taylor,Right,70-74,73,180-199,180,0.000,0
Terry Felton,Right,70-74,73,180-199,180,0.000,0
Ray Chadwick,Both,70-74,74,180-199,180,0.000,0
Fernando Arroyo,Right,70-74,74,180-199,180,0.000,0
Keith Creel,Right,70-74,74,180-199,180,0.000,0
Mike Bacsik,Right,70-74,74,180-199,180,0.000,0
Phil Huffman,Right,70-74,74,180-199,180,0.000,0
Larry Rothschild,Left,70-74,74,180-199,180,0.000,0
Zach Crouch,Left,75-79,75,180-199,180,0.000,0
Mike Smith,Right,75-79,75,180-199,180,0.000,0
Craig Mitchell,Right,75-79,75,180-199,180,0.000,0
John Caneira,Right,75-79,75,180-199,180,0.000,0
Jeff Bettendorf,Right,75-79,75,180-199,180,0.000,0
Greg Thayer,Right,70-74,71,180-199,182,0.000,0
Jay Pettibone,Right,75-79,76,180-199,182,0.000,0
Jerry Augustine,Left,70-74,72,180-199,183,0.000,0
Dave Johnson,Right,70-74,73,180-199,183,0.000,0
Tom Makowski,Right,70-74,71,180-199,185,0.000,0
Joe Pactwa,Left,70-74,71,180-199,185,0.000,0
Gary Ignasiak,Right,70-74,71,180-199,185,0.000,0
Chico Escarrega,Right,70-74,71,180-199,185,0.000,0
Frank Eufemia,Right,70-74,71,180-199,185,0.000,0
Joel McKeon,Left,70-74,72,180-199,185,0.000,0
Luis Aponte,Right,70-74,72,180-199,185,0.000,0
Bob Davidson,Right,70-74,72,180-199,185,0.000,0
Rich Wortham,Right,70-74,72,180-199,185,0.000,0
John LaRose,Left,70-74,73,180-199,185,0.000,0
Gil Patterson,Right,70-74,73,180-199,185,0.000,0
Randy Scarbery,Both,70-74,73,180-199,185,0.000,0
Tom Gilles,Right,70-74,73,180-199,185,0.000,0
Randy Wiles,Left,70-74,73,180-199,185,0.000,0
Dave Stapleton,Left,70-74,73,180-199,185,0.000,0
Mike Kinnunen,Left,70-74,73,180-199,185,0.000,0
Don Cooper,Right,70-74,73,180-199,185,0.000,0
Steve Eddy,Right,70-74,74,180-199,185,0.000,0
Ron Musselman,Right,70-74,74,180-199,185,0.000,0
Rick Kreuger,Right,70-74,74,180-199,185,0.000,0
Jeff Twitty,Left,70-74,74,180-199,185,0.000,0
Stan Thomas,Right,70-74,74,180-199,185,0.000,0
Alex Sanchez,Right,70-74,74,180-199,185,0.000,0
Colby Ward,Right,70-74,74,180-199,185,0.000,0
Shawn Holman,Right,70-74,74,180-199,185,0.000,0
Jeff Barkley,Both,75-79,75,180-199,185,0.000,0
Gary Mielke,Right,75-79,75,180-199,185,0.000,0
Rob Woodward,Right,75-79,75,180-199,185,0.000,0
Alfredo Martinez,Right,75-79,75,180-199,185,0.000,0
Brian Snyder,Left,75-79,75,180-199,185,0.000,0
Jeff Richardson,Right,75-79,75,180-199,185,0.000,0
John Butcher,Right,75-79,76,180-199,185,0.000,0
Daryl Smith,Right,75-79,76,180-199,185,0.000,0
Rich Barnes,Right,75-79,76,180-199,186,0.000,0
Rich Yett,Right,70-74,74,180-199,187,0.000,0
Chuck Porter,Right,75-79,75,180-199,187,0.000,0
Bobby Cuellar,Right,70-74,71,180-199,188,0.000,0
Mike Paxton,Right,70-74,71,180-199,190,0.000,0
Kevin Stanfield,Left,70-74,72,180-199,190,0.000,0
Mel Stottlemyre,Right,70-74,72,180-199,190,0.000,0
Eric Wilkins,Right,70-74,73,180-199,190,0.000,0
Bruce Robbins,Left,70-74,73,180-199,190,0.000,0
Bert Bradley,Both,70-74,73,180-199,190,0.000,0
Greg Erardi,Right,70-74,73,180-199,190,0.000,0
Mark Esser,Right,70-74,73,180-199,190,0.000,0
Dave Smith,Right,70-74,73,180-199,190,0.000,0
Craig Chamberlain,Right,70-74,73,180-199,190,0.000,0
Mark Brown,Both,70-74,74,180-199,190,0.000,0
Tom Klawitter,Right,70-74,74,180-199,190,0.000,0
Mike Overy,Right,70-74,74,180-199,190,0.000,0
Rickey Keeton,Right,70-74,74,180-199,190,0.000,0
Dennis DeBarr,Left,70-74,74,180-199,190,0.000,0
Rick Lysander,Right,70-74,74,180-199,190,0.000,0
John Hoover,Right,70-74,74,180-199,190,0.000,0
Tom Dozier,Right,70-74,74,180-199,190,0.000,0
Joe Skalski,Right,75-79,75,180-199,190,0.000,0
Roger Weaver,Right,75-79,75,180-199,190,0.000,0
Jim Gideon,Right,75-79,75,180-199,190,0.000,0
Larry Anderson,Right,75-79,75,180-199,190,0.000,0
John Hobbs,Right,75-79,75,180-199,190,0.000,0
Roger Slagle,Right,75-79,75,180-199,190,0.000,0
Fred Howard,Right,75-79,75,180-199,190,0.000,0
Jim Lewis,Right,75-79,75,180-199,190,0.000,0
Albert Williams,Right,75-79,76,180-199,190,0.000,0
Dave Ford,Right,75-79,76,180-199,190,0.000,0
T.R. Bryden,Right,75-79,76,180-199,190,0.000,0
Mike Darr,Right,75-79,76,180-199,190,0.000,0
Karl Best,Right,75-79,76,180-199,190,0.000,0
Keith Macwhorter,Right,75-79,76,180-199,190,0.000,0
Alan Wirth,Right,75-79,76,180-199,190,0.000,0
Rick Jones,Left,75-79,77,180-199,190,0.000,0
Jim Dorsey,Right,75-79,79,180-199,190,0.000,0
Ed Hodge,Left,70-74,74,180-199,192,0.000,0
Bryan Oelkers,Left,75-79,75,180-199,192,0.000,0
Les Straker,Right,70-74,73,180-199,193,0.000,0
Nardi Contreras,Both,70-74,74,180-199,193,0.000,0
Ralph Botting,Left,70-74,72,180-199,195,0.000,0
Howard Bailey,Right,70-74,72,180-199,195,0.000,0
Jerry Ujdur,Right,70-74,73,180-199,195,0.000,0
Paul Mitchell,Right,70-74,73,180-199,195,0.000,0
Chuck Hockenbery,Both,70-74,73,180-199,195,0.000,0
Jim Farr,Right,70-74,73,180-199,195,0.000,0
Steve Davis,Left,70-74,73,180-199,195,0.000,0
Sandy Wihtol,Right,70-74,73,180-199,195,0.000,0
Ozzie Osborn,Right,70-74,74,180-199,195,0.000,0
Kevin Bearse,Left,70-74,74,180-199,195,0.000,0
Reggie Ritter,Left,70-74,74,180-199,195,0.000,0
Jeff Peterek,Right,70-74,74,180-199,195,0.000,0
Pete Filson,Both,70-74,74,180-199,195,0.000,0
Mike Brown,Right,70-74,74,180-199,195,0.000,0
Mike Pazik,Left,70-74,74,180-199,195,0.000,0
Bryan Kelly,Right,70-74,74,180-199,195,0.000,0
Jeff Byrd,Right,75-79,75,180-199,195,0.000,0
Jerry Garvin,Left,75-79,75,180-199,195,0.000,0
Jeff Schneider,Both,75-79,75,180-199,195,0.000,0
Jeff Shaver,Right,75-79,75,180-199,195,0.000,0
Bill Fulton,Right,75-79,75,180-199,195,0.000,0
Jim Burton,Right,75-79,75,180-199,195,0.000,0
Gary Lance,Both,75-79,75,180-199,195,0.000,0
Ron Romanick,Right,75-79,76,180-199,195,0.000,0
Chris Batton,Right,75-79,76,180-199,195,0.000,0
Gorman Heimueller,Left,75-79,76,180-199,195,0.000,0
Chris Knapp,Right,75-79,77,180-199,195,0.000,0
Al Lachowicz,Right,75-79,75,180-199,198,0.000,0
Jack Lazorko,Right,70-74,71,200-219,200,0.000,0
Matt Williams,Right,70-74,73,200-219,200,0.000,0
Dan Morogiello,Left,70-74,73,200-219,200,0.000,0
Steve Burke,Both,70-74,74,200-219,200,0.000,0
Steve Cummings,Both,70-74,74,200-219,200,0.000,0
Paul Boris,Right,70-74,74,200-219,200,0.000,0
John Leister,Right,70-74,74,200-219,200,0.000,0
Bob Fallon,Left,75-79,75,200-219,200,0.000,0
Roger Miller,Right,75-79,75,200-219,200,0.000,0
Tom Buskey,Right,75-79,75,200-219,200,0.000,0
Jim Siwy,Right,75-79,76,200-219,200,0.000,0
Steve Barr,Left,75-79,76,200-219,200,0.000,0
Mark Clear,Right,75-79,76,200-219,200,0.000,0
Jaime Cocanower,Right,75-79,76,200-219,200,0.000,0
Larry Monroe,Right,75-79,76,200-219,200,0.000,0
Rick Steirer,Right,75-79,76,200-219,200,0.000,0
Paul Hartzell,Right,75-79,77,200-219,200,0.000,0
Jeff Schattinger,Left,75-79,77,200-219,200,0.000,0
Gary Christenson,Left,75-79,77,200-219,200,0.000,0
Steve Brown,Right,75-79,77,200-219,200,0.000,0
Jim Umbarger,Left,75-79,78,200-219,200,0.000,0
Butch Edge,Right,75-79,75,200-219,203,0.000,0
Mike Walters,Right,75-79,77,200-219,203,0.000,0
Bob Galasso,Left,70-74,73,200-219,205,0.000,0
Steve Senteney,Right,70-74,74,200-219,205,0.000,0
Mike Willis,Left,70-74,74,200-219,205,0.000,0
John Trautwein,Right,75-79,75,200-219,205,0.000,0
Andy Beene,Right,75-79,75,200-219,205,0.000,0
Gary Wheelock,Right,75-79,75,200-219,205,0.000,0
Frank Dimichele,Right,75-79,75,200-219,205,0.000,0
Don Kainer,Right,75-79,75,200-219,205,0.000,0
Larry Pashnick,Right,75-79,75,200-219,205,0.000,0
Brian Denman,Right,75-79,76,200-219,205,0.000,0
Gary Beare,Right,75-79,76,200-219,205,0.000,0
Sherman Corbett,Left,75-79,76,200-219,205,0.000,0
Mike Rochford,Left,75-79,76,200-219,205,0.000,0
Don Welchel,Right,75-79,76,200-219,205,0.000,0
Jeff Rineer,Left,75-79,76,200-219,205,0.000,0
Andy Replogle,Right,75-79,77,200-219,205,0.000,0
Vance Lovelace,Left,75-79,77,200-219,205,0.000,0
Joel Davis,Left,75-79,77,200-219,205,0.000,0
Jim Wright,Right,75-79,77,200-219,205,0.000,0
Clay Christiansen,Right,75-79,77,200-219,205,0.000,0
Cardell Camper,Right,75-79,75,200-219,208,0.000,0
Rick Anderson,Right,70-74,74,200-219,210,0.000,0
Terry Wilshusen,Right,70-74,74,200-219,210,0.000,0
Bud Anderson,Right,75-79,75,200-219,210,0.000,0
Jeff Jones,Right,75-79,75,200-219,210,0.000,0
Mike Loynd,Right,75-79,76,200-219,210,0.000,0
Bill Moran,Right,75-79,76,200-219,210,0.000,0
Bob Kammeyer,Right,75-79,76,200-219,210,0.000,0
Mike Parrott,Right,75-79,76,200-219,210,0.000,0
Al Jones,Right,75-79,76,200-219,210,0.000,0
Barry Cort,Right,75-79,77,200-219,210,0.000,0
Bob Babcock,Right,75-79,77,200-219,210,0.000,0
John Poloni,Left,75-79,77,200-219,210,0.000,0
Jeff Holly,Left,75-79,77,200-219,210,0.000,0
Steve Adkins,Right,75-79,78,200-219,210,0.000,0
Mark Smith,Right,70-74,74,200-219,215,0.000,0
Randy Nosek,Right,75-79,76,200-219,215,0.000,0
Britt Burns,Left,75-79,77,200-219,215,0.000,0
Mike Jones,Left,75-79,78,200-219,215,0.000,0
Sam Hinds,Right,75-79,78,200-219,215,0.000,0
Mike Smithson,Left,80-84,80,200-219,215,0.000,0
Steve Curry,Right,75-79,78,200-219,217,0.000,0
Bruce Tanner,Left,75-79,75,220-239,220,0.000,0
Willie Mueller,Right,75-79,76,220-239,220,0.000,0
Kevin Mmahat,Left,75-79,77,220-239,220,0.000,0
Curt Wardle,Left,75-79,77,220-239,220,0.000,0
Mark Mercer,Left,75-79,77,220-239,220,0.000,0
Steve Ellsworth,Right,80-84,80,220-239,220,0.000,0
Bryan Clutterbuck,Right,75-79,76,220-239,223,0.000,0
Rick Henninger,Right,75-79,78,220-239,225,0.000,0
Bob Ferris,Right,75-79,78,220-239,225,0.000,0
Ben Callahan,Right,75-79,79,220-239,230,0.000,0
Dave Lemanczyk,Right,75-79,76,220-239,235,0.000,0
Dave Frost,Right,75-79,78,220-239,235,0.000,0
Stefan Wever,Right,80-84,80,240-259,245,0.000,0
Dean Chance,Right,75-79,75,200-219,200,0.066,0
Vida Blue,Both,70-74,72,180-199,189,0.104,4
Mickey Lolich,Both,70-74,73,160 - 179,170,0.110,0
Jack Billingham,Right,75-79,76,180-199,195,0.111,0
Bob Veale,Both,75-79,78,200-219,212,0.114,0
Steve Barber,Left,70-74,72,180-199,195,0.115,5
Jerry Koosman,Right,70-74,74,200-219,205,0.119,2
Ray Culp,Right,70-74,72,200-219,200,0.123,1
Burt Hooton,Right,70-74,73,200-219,210,0.123,4
Fred Norman,Both,65-69,68,140 -159,155,0.125,0
Joaquin Andujar,Both,70-74,72,160 - 179,170,0.127,5
Al Downing,Right,70-74,71,160 - 179,175,0.127,2
Denny Lemaster,Right,70-74,73,180-199,182,0.130,4
Gaylord Perry,Right,75-79,76,200-219,205,0.131,6
Mario Soto,Right,70-74,72,160 - 179,174,0.132,1
Randy Jones,Right,70-74,72,160 - 179,178,0.132,0
Dave McNally,Right,70-74,71,180-199,185,0.133,9
Denny McLain,Right,70-74,73,180-199,185,0.133,1
Joe Horlen,Right,70-74,72,160 - 179,170,0.134,0
Jim Lonborg,Right,75-79,77,200-219,200,0.136,3
Larry Dierker,Right,75-79,76,200-219,215,0.136,4
Bob Knepper,Left,75-79,75,180-199,195,0.137,6
Steve Rogers,Right,70-74,74,160 - 179,175,0.138,0
Gary Nolan,Right,70-74,74,180-199,197,0.138,1
Woodie Fryman,Right,75-79,75,180-199,197,0.138,2
Don Sutton,Right,70-74,73,180-199,185,0.144,0
Don Wilson,Right,70-74,74,180-199,195,0.146,1
Ray Burris,Right,75-79,77,200-219,200,0.151,1
Sam McDowell,Left,75-79,77,180-199,190,0.154,2
Tom Seaver,Right,70-74,73,180-199,195,0.154,12
Joe Niekro,Right,70-74,73,180-199,185,0.156,1
Carl Morton,Right,70-74,72,200-219,200,0.156,7
Tommy John,Right,75-79,75,180-199,180,0.157,5
Ron Reed,Right,75-79,78,200-219,215,0.158,0
Fritz Peterson,Both,70-74,72,180-199,185,0.159,2
Mel Stottlemyre,Right,70-74,73,160 - 179,178,0.160,7
John Vukovich,Right,70-74,73,180-199,187,0.161,6
Jim Barr,Right,75-79,75,200-219,205,0.162,1
Ken Holtzman,Right,70-74,74,160 - 179,175,0.163,2
Luis Tiant,Right,70-74,72,180-199,180,0.164,5
Juan Marichal,Right,70-74,72,180-199,185,0.165,4
Fergie Jenkins,Right,75-79,77,200-219,205,0.165,13
Jerry Reuss,Left,75-79,77,200-219,200,0.167,1
J.R. Richard,Right,80-84,80,220-239,222,0.168,10
Phil Niekro,Right,70-74,73,180-199,180,0.169,7
John Denny,Right,75-79,75,180-199,185,0.170,0
Andy Messersmith,Right,70-74,73,200-219,200,0.170,5
Steve Blass,Right,70-74,72,160 - 179,165,0.172,1
Sonny Siebert,Right,75-79,75,180-199,190,0.173,12
Ray Oyler,Right,70-74,71,160 - 179,165,0.175,15
Tommy Dean,Right,70-74,72,160 - 179,165,0.180,4
Dick Ruthven,Right,75-79,75,180-199,190,0.183,1
Bill Plummer,Right,70-74,73,180-199,190,0.188,14
Ron Clark,Right,70-74,70,160 - 179,175,0.189,5
Ray Sadecki,Left,70-74,71,180-199,180,0.191,5
Tony Cloninger,Right,70-74,72,200-219,210,0.192,11
Luis Pujols,Right,70-74,74,160 - 179,175,0.193,6
Mike Ryan,Right,70-74,74,200-219,205,0.193,28
Mike Krukow,Right,75-79,77,200-219,205,0.193,5
Dave Roberts,Left,75-79,75,180-199,195,0.194,7
Rich Morales,Right,70-74,71,160 - 179,170,0.195,6
Dan Briggs,Left,70-74,72,180-199,180,0.195,12
Rick Wise,Right,70-74,73,180-199,180,0.195,15
Jim French,Left,65-69,68,180-199,180,0.196,5
Bob Davis,Right,70-74,72,180-199,180,0.197,6
Orlando Mercado,Right,70-74,72,180-199,180,0.199,7
Frank Fernandez,Right,70-74,72,180-199,185,0.199,39
Doug Camilli,Right,70-74,71,180-199,195,0.199,18
Bob Uecker,Right,70-74,73,180-199,190,0.200,14
Tom Egan,Right,75-79,76,200-219,218,0.200,22
Jim Maloney,Left,70-74,74,180-199,190,0.201,7
Jim Rooker,Right,70-74,72,180-199,195,0.201,7
John Hale,Left,70-74,74,180-199,195,0.201,14
Doug Frobel,Left,75-79,76,180-199,196,0.201,20
Steve Carlton,Left,75-79,76,200-219,210,0.201,13
Jim Mason,Left,70-74,74,180-199,185,0.203,12
Jerry Zimmerman,Right,70-74,74,180-199,185,0.204,3
Don Mason,Left,70-74,71,160 - 179,160,0.205,3
Buddy Biancalana,Both,70-74,71,160 - 179,160,0.205,6
George Smith,Right,70-74,70,160 - 179,170,0.205,9
Tom Nieto,Right,70-74,73,180-199,193,0.205,5
Steve Huntz,Both,70-74,73,200-219,204,0.206,16
Tom Lawless,Right,70-74,71,160 - 179,170,0.207,2
Dick Simpson,Right,75-79,76,160 - 179,176,0.207,15
Jackie Hernandez,Right,70-74,71,160 - 179,165,0.208,12
Bobby Klaus,Right,70-74,70,160 - 179,170,0.208,6
Luis Gomez,Right,65-69,69,140 -159,150,0.210,0
Steve Jeltz,Both,70-74,71,180-199,180,0.210,5
Jack Heidemann,Right,70-74,72,160 - 179,175,0.211,9
Terry Humphrey,Right,75-79,75,180-199,185,0.211,6
Jerry Narron,Left,75-79,75,200-219,205,0.211,21
Rudy Meoli,Left,65-69,69,160 - 179,165,0.212,2
Rusty Torres,Both,70-74,70,160 - 179,175,0.212,35
Angel Salazar,Right,70-74,72,180-199,180,0.212,2
Ned Yost,Right,70-74,73,180-199,190,0.212,16
Dave Nicholson,Right,70-74,74,200-219,215,0.212,61
Dick Tracewski,Right,70-74,71,160 - 179,160,0.213,8
Curt Motton,Right,65-69,68,160 - 179,164,0.213,25
Mick Kelleher,Right,65-69,69,160 - 179,176,0.213,0
Ken Rudolph,Right,70-74,73,180-199,180,0.213,6
Dave Campbell,Right,70-74,73,180-199,180,0.213,20
Alan Knicely,Right,70-74,72,180-199,190,0.213,12
Dave Hilton,Right,70-74,71,180-199,191,0.213,6
Bob Forsch,Right,75-79,76,200-219,200,0.213,12
Luis Alvarado,Right,65-69,69,160 - 179,162,0.214,5
Frank Quilici,Right,70-74,73,160 - 179,170,0.214,5
Dave Duncan,Right,70-74,74,180-199,190,0.214,109
Jim Price,Right,70-74,72,180-199,192,0.214,18
Jeff Torborg,Right,70-74,72,180-199,195,0.214,8
Hal King,Left,70-74,73,200-219,200,0.214,24
Mario Mendoza,Right,70-74,71,160 - 179,170,0.215,4
Jose Arcia,Right,75-79,75,160 - 179,170,0.215,1
Tom Matchick,Left,70-74,73,160 - 179,173,0.215,4
Bobby Wine,Right,70-74,73,180-199,187,0.215,30
Skip Jutze,Right,70-74,71,180-199,190,0.215,3
Phil Roof,Right,70-74,74,180-199,190,0.215,43
Larry Haney,Right,70-74,74,180-199,195,0.215,12
Steve Renko,Right,75-79,77,220-239,230,0.215,6
Fred Stanley,Right,70-74,70,160 - 179,165,0.216,10
Hector Torres,Right,70-74,72,160 - 179,175,0.216,18
John Stephenson,Left,70-74,71,180-199,180,0.216,12
Pat Corrales,Right,70-74,72,180-199,180,0.216,4
Joe Lovitto,Both,70-74,72,180-199,185,0.216,4
