name,handedness,Height Groups,height,weight groups,weight,batting average,home run
Billy Bryan,Left,75-79,76,200-219,200,0.216,41
Howie Goss,Right,75-79,76,200-219,204,0.216,11
Steve Swisher,Right,70-74,74,200-219,205,0.216,20
Dal Maxvill,Right,70-74,71,140 -159,157,0.217,6
Vic Harris,Both,70-74,71,160 - 179,165,0.217,13
Darrel Chaney,Both,70-74,74,180-199,188,0.217,14
Jim Anderson,Right,70-74,72,160 - 179,170,0.218,13
Stan Papi,Right,70-74,72,160 - 179,170,0.218,7
Tucker Ashford,Right,70-74,73,180-199,195,0.218,6
Al Weis,Both,70-74,72,160 - 179,160,0.219,7
Craig Robinson,Right,70-74,70,160 - 179,165,0.219,0
Ted Ford,Right,70-74,70,180-199,180,0.219,17
John Boccabella,Right,70-74,73,180-199,195,0.219,26
Rick Auerbach,Right,70-74,72,160 - 179,165,0.220,9
Mike Fischlin,Right,70-74,73,160 - 179,165,0.220,3
Pedro Garcia,Right,70-74,70,160 - 179,175,0.220,37
Todd Cruz,Right,70-74,72,160 - 179,175,0.220,34
Ellie Hendricks,Left,70-74,73,160 - 179,175,0.220,62
Ed Crosby,Left,70-74,74,160 - 179,175,0.220,0
Danny Ainge,Right,75-79,76,160 - 179,175,0.220,2
Bob Coluccio,Right,70-74,71,180-199,183,0.220,26
Jerry Buchek,Right,70-74,71,180-199,185,0.220,22
Tim Cullen,Right,70-74,73,180-199,185,0.220,9
Jim Nettles,Left,70-74,72,180-199,186,0.220,16
Larry Cox,Right,70-74,70,160 - 179,178,0.221,12
Gary Allenson,Right,70-74,71,180-199,185,0.221,19
Duffy Dyer,Right,70-74,72,180-199,187,0.221,30
Rick Renick,Right,70-74,72,180-199,188,0.221,20
Ken Gerhart,Right,70-74,72,180-199,190,0.221,24
Bob Jones,Left,70-74,74,180-199,195,0.221,20
Johnnie LeMaster,Right,70-74,74,160 - 179,165,0.222,22
Kevin Bell,Right,70-74,72,180-199,195,0.222,13
Jimmie Schaffer,Right,65-69,69,160 - 179,170,0.223,11
Tim Johnson,Left,70-74,73,160 - 179,170,0.223,0
Andres Mora,Right,70-74,72,180-199,180,0.223,27
Sam Bowens,Right,70-74,73,180-199,188,0.223,45
Danny Walton,Right,70-74,72,180-199,195,0.223,28
Nelson Mathews,Right,75-79,76,180-199,195,0.223,22
Joe Lahoud,Left,70-74,73,180-199,198,0.223,65
Marc Hill,Right,75-79,75,200-219,205,0.223,34
Enzo Hernandez,Right,65-69,68,140 -159,155,0.224,2
Ed Brinkman,Right,70-74,72,160 - 179,170,0.224,60
Bob Burda,Left,70-74,71,160 - 179,174,0.224,13
Roger Repoz,Left,75-79,75,180-199,190,0.224,82
Carmen Fanzone,Right,70-74,72,200-219,200,0.224,20
Dick Nen,Left,70-74,74,200-219,200,0.224,21
Jeff Newman,Right,70-74,74,200-219,215,0.224,63
Hector Cruz,Right,70-74,71,160 - 179,170,0.225,39
Bobby Cox,Right,70-74,71,180-199,180,0.225,9
Paul Casanova,Right,75-79,76,180-199,180,0.225,50
Rich McKinney,Right,70-74,71,180-199,185,0.225,20
John Kennedy,Right,70-74,72,180-199,185,0.225,32
Tom Satriano,Left,70-74,73,180-199,185,0.225,21
Buck Martinez,Right,70-74,70,180-199,190,0.225,58
Gorman Thomas,Right,70-74,74,200-219,210,0.225,268
Tim Laudner,Right,75-79,75,200-219,212,0.225,77
Nate Oliver,Right,70-74,70,160 - 179,160,0.226,2
Mike Sadek,Right,65-69,69,160 - 179,165,0.226,5
Buddy Bradford,Right,70-74,71,160 - 179,170,0.226,52
Mike Richardt,Right,70-74,72,160 - 179,170,0.226,4
Bob Barton,Right,70-74,72,160 - 179,175,0.226,9
Jim Gosger,Left,70-74,71,180-199,185,0.226,30
Catfish Hunter,Right,70-74,72,180-199,190,0.226,6
Tommie Reynolds,Right,70-74,74,180-199,190,0.226,12
Pete Mackanin,Right,70-74,74,180-199,190,0.226,30
Larry Lintz,Both,65-69,69,140 -159,150,0.227,0
Bill Voss,Left,70-74,74,160 - 179,160,0.227,19
Ken Suarez,Right,65-69,69,160 - 179,175,0.227,5
Mike Fiore,Left,70-74,72,160 - 179,175,0.227,13
Johnny Lewis,Left,70-74,73,180-199,189,0.227,22
Sal Butera,Right,70-74,72,180-199,190,0.227,8
Jim Traber,Left,70-74,72,180-199,194,0.227,27
Chris Bando,Both,70-74,72,180-199,195,0.227,27
Dick Billings,Right,70-74,73,180-199,195,0.227,16
Brian Giles,Right,70-74,73,160 - 179,165,0.228,10
Tim Blackwell,Both,70-74,71,160 - 179,170,0.228,6
Mark Belanger,Right,70-74,73,160 - 179,170,0.228,20
Joe Nossek,Right,70-74,72,160 - 179,178,0.228,3
Hal Lanier,Right,70-74,74,180-199,180,0.228,8
Steve Yeager,Right,70-74,72,180-199,190,0.228,102
Russ Gibson,Right,70-74,73,180-199,195,0.228,8
Wayne Comer,Right,70-74,70,160 - 179,175,0.229,16
Dick Phillips,Left,70-74,72,180-199,180,0.229,12
Doug Clemens,Left,70-74,72,180-199,180,0.229,12
Gene Michael,Both,70-74,74,180-199,183,0.229,15
Vic Correll,Right,70-74,70,180-199,185,0.229,29
Mike Champion,Right,70-74,72,180-199,185,0.229,2
Duane Walker,Left,70-74,72,180-199,185,0.229,24
Bob Didier,Both,70-74,72,180-199,190,0.229,0
Tommie Aaron,Right,75-79,75,180-199,190,0.229,13
Mike Brumley,Left,70-74,70,180-199,195,0.229,5
Dave McKay,Both,70-74,73,180-199,195,0.229,21
Glenn Borgmann,Right,75-79,76,200-219,210,0.229,16
Dave Hostetler,Right,75-79,76,200-219,215,0.229,37
Don Leppert,Right,70-74,74,220-239,220,0.229,15
Lenn Sakata,Right,65-69,69,160 - 179,160,0.230,25
Winston Llenas,Right,70-74,70,160 - 179,165,0.230,3
Sandy Valdespino,Left,65-69,68,160 - 179,170,0.230,7
Steve Whitaker,Left,70-74,72,180-199,180,0.230,24
Syd O'Brien,Right,70-74,73,180-199,185,0.230,24
Billy Smith,Both,70-74,74,180-199,185,0.230,17
Cap Peterson,Right,70-74,74,180-199,195,0.230,19
Gary Alexander,Right,70-74,74,180-199,195,0.230,55
Barry Foote,Right,75-79,75,200-219,205,0.230,57
John Bateman,Right,75-79,75,200-219,210,0.230,81
Roger Metzger,Both,70-74,72,160 - 179,165,0.231,5
Brad Wellman,Right,70-74,72,160 - 179,170,0.231,6
Ted Kubiak,Both,70-74,72,160 - 179,175,0.231,13
Ken Walters,Right,70-74,73,180-199,180,0.231,11
Jim Beauchamp,Right,70-74,74,180-199,190,0.231,14
Elio Chacon,Right,65-69,69,160 - 179,160,0.232,4
Vern Fuller,Right,70-74,73,160 - 179,170,0.232,14
Larry Stahl,Left,70-74,72,160 - 179,175,0.232,36
Ron Gardenhire,Right,70-74,72,160 - 179,175,0.232,4
Frank Duffy,Right,70-74,73,180-199,180,0.232,26
Buck Rodgers,Both,70-74,74,180-199,190,0.232,31
Bob Tillman,Right,75-79,76,200-219,205,0.232,79
Larry Brown,Right,70-74,70,160 - 179,160,0.233,47
Coco Laboy,Right,70-74,70,160 - 179,165,0.233,28
Ron Woods,Right,70-74,70,160 - 179,168,0.233,26
Steve Lombardozzi,Right,70-74,72,160 - 179,175,0.233,20
Paul Popovich,Both,70-74,72,160 - 179,175,0.233,14
Joe Lis,Right,70-74,72,160 - 179,175,0.233,32
Ron Davis,Right,70-74,72,160 - 179,175,0.233,10
Jake Gibbs,Left,70-74,72,180-199,180,0.233,25
Terry Harmon,Right,70-74,74,180-199,180,0.233,4
Ted Savage,Right,70-74,73,180-199,185,0.233,34
Bob Kearney,Right,70-74,72,180-199,190,0.233,27
Clay Dalrymple,Left,70-74,72,180-199,190,0.233,55
Wayne Gross,Left,70-74,74,200-219,210,0.233,121
Andres Thomas,Right,70-74,73,160 - 179,170,0.234,42
Jerry Dybzinski,Right,70-74,74,180-199,180,0.234,3
Fred Kendall,Right,70-74,73,180-199,185,0.234,31
Rob Picciolo,Right,70-74,74,180-199,185,0.234,17
Bill Sudakis,Both,70-74,73,180-199,190,0.234,59
Jerry May,Right,70-74,74,180-199,190,0.234,15
Len Matuszek,Left,70-74,74,180-199,190,0.234,30
Rick Sweet,Both,70-74,73,200-219,200,0.234,6
Cesar Gutierrez,Right,65-69,69,140 -159,155,0.235,0
Julio Gonzalez,Right,70-74,71,160 - 179,162,0.235,4
Fernando Gonzalez,Right,70-74,70,160 - 179,165,0.235,17
Al Luplow,Left,70-74,70,160 - 179,175,0.235,33
Dalton Jones,Left,70-74,73,180-199,180,0.235,41
Phil Linz,Right,70-74,73,180-199,180,0.235,11
Tim Harkness,Left,70-74,74,180-199,182,0.235,14
Bobby Mitchell,Right,75-79,75,180-199,185,0.235,21
Jim Fairey,Left,70-74,70,180-199,190,0.235,7
Chris Cannizzaro,Right,70-74,72,180-199,190,0.235,18
Andy Etchebarren,Right,70-74,73,180-199,190,0.235,49
Craig Kusick,Right,75-79,75,200-219,210,0.235,46
Bud Harrelson,Both,70-74,71,160 - 179,160,0.236,7
Dave Rosello,Right,70-74,71,160 - 179,160,0.236,10
Rodney Scott,Both,70-74,72,160 - 179,160,0.236,3
Billy Grabarkewitz,Right,70-74,70,160 - 179,165,0.236,28
Randy Hundley,Right,70-74,71,160 - 179,170,0.236,82
Billy Cowan,Right,70-74,72,160 - 179,170,0.236,40
Eddie Leon,Right,70-74,72,160 - 179,170,0.236,24
Bobby Knoop,Right,70-74,73,160 - 179,170,0.236,56
Luis Aguayo,Right,65-69,69,160 - 179,173,0.236,37
Bob Meacham,Both,70-74,73,160 - 179,175,0.236,8
Kurt Bevacqua,Right,70-74,72,180-199,180,0.236,27
Paul Householder,Both,70-74,72,180-199,180,0.236,29
Dale Berra,Right,70-74,72,180-199,180,0.236,49
Don Hahn,Right,70-74,73,180-199,180,0.236,7
Woody Woodward,Right,70-74,74,180-199,180,0.236,1
Byron Browne,Right,70-74,74,180-199,190,0.236,30
Danny Goodwin,Left,70-74,73,180-199,195,0.236,13
George Mitterwald,Right,70-74,74,180-199,195,0.236,76
Ivan Murrell,Right,70-74,74,180-199,195,0.236,33
Doug Ault,Right,75-79,75,200-219,200,0.236,17
Andy Kosco,Right,75-79,75,200-219,205,0.236,73
Dave Kingman,Right,75-79,78,200-219,210,0.236,442
Gil Garrido,Right,65-69,69,140 -159,150,0.237,1
Julio Cruz,Both,65-69,69,160 - 179,165,0.237,23
Rafael Landestoy,Both,70-74,70,160 - 179,165,0.237,4
Jimmy Stewart,Both,70-74,72,160 - 179,165,0.237,8
Dave Edwards,Right,70-74,72,160 - 179,170,0.237,14
Jerry Kenney,Left,70-74,73,160 - 179,170,0.237,7
Jackie Gutierrez,Right,70-74,71,160 - 179,175,0.237,4
Aurelio Rodriguez,Right,70-74,70,180-199,180,0.237,124
Ed Stroud,Left,70-74,71,180-199,180,0.237,14
Jerry McNertney,Right,70-74,72,180-199,180,0.237,27
Harry Spilman,Left,70-74,73,180-199,180,0.237,18
Glenn Burke,Right,70-74,72,180-199,195,0.237,2
Curt Blefary,Left,70-74,74,180-199,195,0.237,112
John Donaldson,Left,70-74,71,160 - 179,160,0.238,4
Doug Flynn,Right,70-74,71,160 - 179,165,0.238,7
Ty Cline,Left,70-74,72,160 - 179,170,0.238,6
Ed Spiezio,Right,70-74,71,180-199,180,0.238,39
Ron Roenicke,Both,70-74,72,180-199,180,0.238,17
Phil Gagliano,Right,70-74,73,180-199,180,0.238,14
Chuck Harrison,Right,70-74,70,180-199,185,0.238,17
Norm Miller,Left,70-74,70,180-199,185,0.238,24
Ed Kirkpatrick,Left,70-74,71,180-199,195,0.238,85
Don Lock,Right,70-74,74,180-199,195,0.238,122
Rick Rhoden,Right,75-79,75,180-199,195,0.238,9
Doc Edwards,Right,70-74,74,200-219,215,0.238,15
Onix Concepcion,Right,65-69,66,160 - 179,160,0.239,3
Chuck Schilling,Right,70-74,70,160 - 179,160,0.239,23
Ron Brand,Right,65-69,67,160 - 179,167,0.239,3
Charley Smith,Right,70-74,73,160 - 179,170,0.239,69
Wayne Garrett,Left,70-74,71,160 - 179,175,0.239,61
Bernie Allen,Left,70-74,72,160 - 179,175,0.239,73
Kiko Garcia,Right,70-74,71,180-199,180,0.239,12
Bobby Clark,Right,70-74,72,180-199,190,0.239,19
Ken Harrelson,Right,70-74,74,180-199,190,0.239,131
Joe Hague,Left,70-74,72,180-199,195,0.239,40
Duke Sims,Left,70-74,74,180-199,197,0.239,100
Bruce Bochy,Right,75-79,75,200-219,205,0.239,26
Ken Phelps,Left,70-74,73,200-219,209,0.239,123
Dave Roberts,Right,75-79,75,200-219,215,0.239,49
Domingo Ramos,Right,70-74,70,140 -159,154,0.240,8
Pepe Frias,Right,70-74,70,140 -159,159,0.240,1
Ted Martinez,Right,70-74,72,160 - 179,165,0.240,7
Chico Ruiz,Both,70-74,72,160 - 179,169,0.240,2
Mike Phillips,Left,70-74,72,160 - 179,170,0.240,11
Mike Ramsey,Both,70-74,73,160 - 179,170,0.240,2
Dick Green,Right,70-74,70,180-199,180,0.240,80
Ron Hodges,Left,70-74,73,180-199,185,0.240,19
Gary Gray,Right,70-74,72,180-199,187,0.240,24
Ed Herrmann,Left,70-74,73,180-199,195,0.240,80
Bill Schroeder,Right,70-74,74,200-219,200,0.240,61
Joe Ferguson,Right,70-74,74,200-219,200,0.240,122
Wayne Tolleson,Both,65-69,69,160 - 179,160,0.241,9
Mike Tyson,Right,65-69,69,160 - 179,170,0.241,27
Mickey Klutts,Right,70-74,71,160 - 179,170,0.241,14
Tom Veryzer,Right,70-74,73,160 - 179,175,0.241,14
Rod Kanehl,Right,70-74,73,180-199,180,0.241,6
Frank Tepedino,Left,70-74,71,180-199,185,0.241,6
Ron Stone,Left,70-74,74,180-199,185,0.241,6
Hank Allen,Right,70-74,72,180-199,190,0.241,6
Gene Tenace,Right,70-74,72,180-199,190,0.241,201
Joe Gaines,Right,70-74,73,180-199,190,0.241,21
Bill Fahey,Left,70-74,72,200-219,200,0.241,7
Dave Skaggs,Right,70-74,74,200-219,200,0.241,3
Bill Nahorodny,Right,70-74,74,200-219,200,0.241,25
Freddie Patek,Right,65-69,65,140 -159,148,0.242,41
Pepe Mangual,Right,70-74,70,140 -159,157,0.242,16
Manny Castillo,Both,65-69,69,160 - 179,160,0.242,3
Don Wert,Right,70-74,70,160 - 179,162,0.242,77
Glenn Hoffman,Right,70-74,73,160 - 179,175,0.242,23
Bruce Benedict,Right,70-74,73,160 - 179,175,0.242,18
Joe Simpson,Left,75-79,75,160 - 179,175,0.242,9
Bob Brower,Right,70-74,71,180-199,185,0.242,17
Willie Norwood,Right,70-74,72,180-199,185,0.242,18
Mike Hegan,Left,70-74,73,180-199,188,0.242,53
Bob Robertson,Right,70-74,73,180-199,195,0.242,115
Ron Swoboda,Right,70-74,74,180-199,195,0.242,73
Johnny Edwards,Left,75-79,76,220-239,220,0.242,81
Rey Quinones,Right,70-74,71,160 - 179,160,0.243,29
Mark Wagner,Right,70-74,72,160 - 179,165,0.243,3
Bobby Mitchell,Left,70-74,70,160 - 179,170,0.243,3
Chuck Hiller,Left,70-74,71,160 - 179,170,0.243,20
Marty Martinez,Both,70-74,72,160 - 179,170,0.243,0
Ozzie Virgil,Right,70-74,73,180-199,180,0.243,98
Steve Dillard,Right,70-74,73,180-199,180,0.243,13
Gary Sutherland,Right,70-74,72,180-199,185,0.243,24
Gary Woods,Right,70-74,74,180-199,185,0.243,13
Nate Colbert,Right,70-74,74,180-199,190,0.243,173
Rick Joseph,Right,70-74,73,180-199,192,0.243,13
Mike Jorgensen,Left,70-74,72,180-199,195,0.243,95
Rick Sofield,Left,70-74,73,180-199,195,0.243,9
Darryl Motley,Right,65-69,69,180-199,196,0.243,44
Hal Breeden,Right,70-74,74,200-219,200,0.243,21
Glenn Hubbard,Right,65-69,69,140 -159,150,0.244,70
Dave Nelson,Right,70-74,70,160 - 179,160,0.244,20
Paul Schaal,Right,70-74,71,160 - 179,165,0.244,57
Pedro Gonzalez,Right,70-74,72,160 - 179,176,0.244,8
Joe Wallis,Both,70-74,71,180-199,180,0.244,16
Johnny Jeter,Right,70-74,73,180-199,180,0.244,18
Ray Webster,Left,70-74,72,180-199,185,0.244,17
Floyd Rayford,Right,70-74,70,180-199,190,0.244,38
Leroy Stanton,Right,70-74,73,180-199,195,0.244,77
Jim Essian,Right,70-74,74,180-199,195,0.244,33
Deron Johnson,Right,70-74,74,200-219,200,0.244,245
Mike Epstein,Left,75-79,75,220-239,230,0.244,130
Sandy Alomar,Both,65-69,69,140 -159,140,0.245,13
Curt Ford,Left,70-74,70,140 -159,150,0.245,7
Bryan Little,Both,70-74,70,160 - 179,160,0.245,3
Doug Griffin,Right,70-74,72,160 - 179,160,0.245,7
Jack Brohamer,Left,70-74,70,160 - 179,165,0.245,30
Roberto Pena,Right,65-69,68,160 - 179,170,0.245,13
Angel Mangual,Right,70-74,70,160 - 179,178,0.245,22
George Wright,Both,70-74,71,180-199,180,0.245,42
Tom Tresh,Both,70-74,73,180-199,180,0.245,153
Ellie Rodriguez,Right,70-74,71,180-199,185,0.245,16
Alan Ashby,Both,70-74,74,180-199,185,0.245,90
Roger Freed,Right,70-74,72,180-199,190,0.245,22
Bobby Brown,Both,70-74,74,180-199,190,0.245,26
Jody Davis,Right,75-79,76,180-199,192,0.245,127
Ted Cox,Right,75-79,75,180-199,195,0.245,10
Marty Perez,Right,70-74,71,160 - 179,160,0.246,22
Tom Brookens,Right,70-74,70,160 - 179,165,0.246,71
Rafael Santana,Right,70-74,73,160 - 179,165,0.246,13
Chris Speier,Right,70-74,73,160 - 179,175,0.246,112
Dave Marshall,Left,70-74,73,180-199,182,0.246,16
Tommy McCraw,Left,70-74,72,180-199,183,0.246,75
Joe Keough,Left,70-74,72,180-199,185,0.246,9
Bruce Miller,Right,70-74,73,180-199,185,0.246,1
Dwayne Murphy,Left,70-74,73,180-199,185,0.246,166
Mike Anderson,Right,70-74,74,200-219,200,0.246,28
Charlie Spikes,Right,75-79,75,200-219,215,0.246,65
Ed Romero,Right,70-74,71,160 - 179,160,0.247,8
Bucky Dent,Right,65-69,69,160 - 179,170,0.247,40
Merritt Ranew,Left,70-74,71,160 - 179,170,0.247,8
Marvell Wynne,Left,70-74,71,160 - 179,175,0.247,40
Garry Hancock,Left,70-74,72,160 - 179,175,0.247,12
Bob Heise,Right,70-74,72,160 - 179,175,0.247,1
Adolfo Phillips,Right,70-74,73,160 - 179,175,0.247,59
Ken Hubbs,Right,70-74,74,160 - 179,175,0.247,14
Dick McAuliffe,Left,70-74,71,160 - 179,176,0.247,197
Mike Lum,Left,70-74,72,180-199,180,0.247,90
Max Alvis,Right,70-74,71,180-199,185,0.247,111
Lou Clinton,Right,70-74,73,180-199,185,0.247,65
Darrell Porter,Left,70-74,72,180-199,193,0.247,188
Mike Diaz,Right,70-74,74,180-199,195,0.247,31
Mike Young,Both,70-74,74,180-199,195,0.247,72
Gary Roenicke,Right,75-79,75,200-219,205,0.247,121
Bob Brenly,Right,70-74,74,200-219,210,0.247,91
Brant Alyea,Right,75-79,75,200-219,215,0.247,38
Earl Williams,Right,75-79,75,200-219,215,0.247,138
Dick Howser,Right,65-69,68,140 -159,155,0.248,16
Ron Theobald,Right,65-69,68,160 - 179,165,0.248,2
Luis Melendez,Right,70-74,72,160 - 179,165,0.248,9
Carl Warwick,Right,70-74,70,160 - 179,170,0.248,31
Ken Boswell,Left,70-74,72,160 - 179,170,0.248,31
Junior Kennedy,Right,70-74,71,160 - 179,175,0.248,4
Tom Hutton,Left,70-74,71,180-199,180,0.248,22
Jim Lyttle,Left,70-74,72,180-199,180,0.248,9
Graig Nettles,Left,70-74,72,180-199,180,0.248,390
Rob Wilfong,Left,70-74,73,180-199,180,0.248,39
Rod Gilbreath,Right,70-74,74,180-199,180,0.248,14
Willie Smith,Left,70-74,72,180-199,182,0.248,46
Danny Thompson,Right,70-74,72,180-199,183,0.248,15
Steve Nicosia,Right,70-74,70,180-199,185,0.248,11
Mickey Stanley,Right,70-74,73,180-199,185,0.248,117
Larry Harlow,Left,70-74,74,180-199,185,0.248,12
Jim Sundberg,Right,70-74,72,180-199,190,0.248,95
Ken McMullen,Right,75-79,75,180-199,190,0.248,156
Butch Hobson,Right,70-74,73,180-199,193,0.248,98
Darrell Evans,Left,70-74,74,200-219,200,0.248,414
Joe Foy,Right,70-74,72,200-219,215,0.248,58
Chico Salmon,Right,70-74,70,160 - 179,160,0.249,31
Derrel Thomas,Both,70-74,72,160 - 179,160,0.249,43
Tony Scott,Both,70-74,72,160 - 179,164,0.249,17
Alex Trevino,Right,70-74,70,160 - 179,165,0.249,23
Jerry Royster,Right,70-74,72,160 - 179,165,0.249,40
Tito Landrum,Right,70-74,71,160 - 179,175,0.249,13
Gary Thomasson,Left,70-74,73,180-199,180,0.249,61
John Milner,Left,70-74,72,180-199,185,0.249,131
Tom Grieve,Right,70-74,74,180-199,190,0.249,65
Don Mincher,Left,75-79,75,200-219,205,0.249,200
John Orsino,Right,75-79,75,200-219,215,0.249,40
Mike Edwards,Right,70-74,70,140 -159,154,0.250,2
Jimmy Wynn,Right,70-74,70,160 - 179,160,0.250,291
Jake Wood,Right,70-74,73,160 - 179,163,0.250,35
Paul Blair,Right,70-74,72,160 - 179,168,0.250,134
Joe Strain,Right,70-74,70,160 - 179,169,0.250,1
Jim Pankovits,Right,70-74,70,160 - 179,170,0.250,9
Ruppert Jones,Left,70-74,70,160 - 179,170,0.250,147
Wilbur Howard,Both,70-74,74,160 - 179,170,0.250,6
Denny Doyle,Left,65-69,69,160 - 179,175,0.250,16
Marv Breeding,Right,70-74,72,160 - 179,175,0.250,7
Bob Stinson,Both,70-74,71,180-199,180,0.250,33
Terry Crowley,Left,70-74,72,180-199,180,0.250,42
Greg Pryor,Right,70-74,72,180-199,180,0.250,14
Rick Bosetti,Right,70-74,71,180-199,185,0.250,17
Denis Menke,Right,70-74,72,180-199,185,0.250,101
Johnny Oates,Left,70-74,71,180-199,188,0.250,14
Jim Spencer,Left,70-74,74,180-199,195,0.250,146
Leron Lee,Left,70-74,72,180-199,196,0.250,31
Dick Bertell,Right,70-74,72,200-219,200,0.250,10
Nick Esasky,Right,75-79,75,200-219,200,0.250,122
Fran Healy,Right,75-79,77,220-239,220,0.250,20
Sonny Jackson,Left,65-69,69,140 -159,150,0.251,7
Andre Robertson,Right,70-74,70,140 -159,155,0.251,5
Albert Hall,Both,70-74,71,140 -159,155,0.251,5
Otto Velez,Right,70-74,72,160 - 179,170,0.251,78
Lenny Faedo,Right,70-74,72,160 - 179,170,0.251,5
Mike de la Hoz,Right,70-74,71,160 - 179,175,0.251,25
U L Washington,Both,70-74,71,160 - 179,175,0.251,27
Rico Petrocelli,Right,70-74,72,160 - 179,175,0.251,210
Tim Foli,Right,70-74,72,160 - 179,179,0.251,25
Jesse Gonder,Left,70-74,70,180-199,180,0.251,26
