name,handedness,Height Groups,height,weight groups,weight,batting average,home run
Jim Lefebvre,Both,70-74,72,180-199,180,0.251,74
Barry Evans,Right,70-74,73,180-199,180,0.251,2
Rob Andrews,Right,70-74,72,180-199,185,0.251,3
Benny Ayala,Right,70-74,73,180-199,185,0.251,38
Dave May,Left,70-74,70,180-199,186,0.251,96
Jack Hiatt,Right,70-74,74,180-199,190,0.251,22
Bobby Darwin,Right,70-74,74,180-199,190,0.251,83
Jerry Martin,Right,70-74,73,180-199,195,0.251,85
Doug Rader,Right,70-74,74,200-219,208,0.251,155
Jerry Moses,Right,75-79,75,200-219,210,0.251,25
Don Kessinger,Both,70-74,73,160 - 179,170,0.252,14
Lynn Jones,Right,65-69,69,160 - 179,175,0.252,7
Mike Hershberger,Right,70-74,70,160 - 179,175,0.252,26
Dave Chalk,Right,70-74,70,160 - 179,175,0.252,15
Mack Jones,Left,70-74,73,180-199,180,0.252,133
Omar Moreno,Left,70-74,74,180-199,180,0.252,37
Tony Armas,Right,70-74,71,180-199,182,0.252,251
Jerry Grote,Right,70-74,70,180-199,185,0.252,39
Joe Azcue,Right,70-74,72,180-199,190,0.252,50
Jim Hickman,Right,75-79,75,180-199,192,0.252,159
Jerry White,Both,70-74,70,160 - 179,164,0.253,21
Jerry Terrell,Right,70-74,71,160 - 179,165,0.253,4
Larvell Blanks,Right,65-69,68,160 - 179,167,0.253,20
Art Shamsky,Left,70-74,73,160 - 179,168,0.253,68
Eddie Milner,Left,70-74,71,160 - 179,173,0.253,42
John Lowenstein,Left,70-74,72,160 - 179,175,0.253,116
Dan Meyer,Left,70-74,71,180-199,180,0.253,86
Roy Foster,Right,70-74,72,180-199,185,0.253,45
Rich Reese,Left,75-79,75,180-199,185,0.253,52
Fred Whitfield,Left,70-74,73,180-199,190,0.253,108
Johnny Briggs,Left,70-74,73,180-199,190,0.253,139
Terry Harper,Right,75-79,76,180-199,195,0.253,36
Bill Melton,Right,70-74,74,200-219,200,0.253,160
Len Gabrielson,Left,75-79,76,200-219,210,0.253,37
John Mayberry,Left,75-79,75,200-219,215,0.253,255
Gene Alley,Right,70-74,70,160 - 179,160,0.254,55
Larry Milbourne,Both,70-74,72,160 - 179,161,0.254,11
Felix Torres,Right,70-74,71,160 - 179,165,0.254,27
Rich Chiles,Left,70-74,71,160 - 179,170,0.254,6
Ivan DeJesus,Right,70-74,71,160 - 179,175,0.254,21
Jimmie Hall,Left,70-74,72,160 - 179,175,0.254,121
Brian Asselstine,Left,70-74,73,160 - 179,175,0.254,12
Bill Almon,Right,75-79,75,180-199,180,0.254,36
Pete Ward,Left,70-74,73,180-199,185,0.254,98
Sal Bando,Right,70-74,72,180-199,195,0.254,242
Bob Boone,Right,70-74,74,180-199,195,0.254,105
Andre Thornton,Right,75-79,75,200-219,200,0.254,253
Frank Taveras,Right,70-74,72,140 -159,155,0.255,2
Bob Dernier,Right,70-74,72,160 - 179,160,0.255,23
Frank White,Right,70-74,71,160 - 179,165,0.255,160
Wallace Johnson,Both,70-74,72,160 - 179,173,0.255,5
Tim Flannery,Left,70-74,71,160 - 179,175,0.255,9
Ken Berry,Right,70-74,72,160 - 179,175,0.255,58
Bill Sharp,Left,70-74,70,160 - 179,178,0.255,9
Bo Diaz,Right,70-74,71,180-199,185,0.255,87
Butch Wynegar,Both,70-74,73,180-199,190,0.255,65
Tommie Agee,Right,70-74,71,180-199,195,0.255,130
Charlie James,Right,70-74,73,180-199,195,0.255,29
Lee Thomas,Left,70-74,74,180-199,195,0.255,106
Mike Shannon,Right,75-79,75,180-199,195,0.255,68
Pat Putnam,Left,70-74,72,200-219,205,0.255,63
Champ Summers,Left,70-74,74,200-219,205,0.255,54
Tony Solaita,Left,70-74,72,200-219,210,0.255,50
Boots Day,Left,65-69,69,160 - 179,160,0.256,8
Juan Bonilla,Right,65-69,69,160 - 179,170,0.256,7
Horace Clarke,Both,65-69,69,160 - 179,170,0.256,27
Craig Reynolds,Left,70-74,73,160 - 179,175,0.256,42
Billy Conigliaro,Right,70-74,72,180-199,180,0.256,40
Tom O'Malley,Left,70-74,72,180-199,180,0.256,13
Ike Brown,Right,70-74,72,180-199,190,0.256,20
Cito Gaston,Right,75-79,75,180-199,190,0.256,91
Bob Oliver,Right,75-79,75,200-219,205,0.256,94
Ray Fosse,Right,70-74,74,200-219,215,0.256,61
Walt Bond,Left,75-79,79,220-239,228,0.256,41
Leo Cardenas,Right,70-74,71,140 -159,150,0.257,118
Mario Guerrero,Right,70-74,70,140 -159,155,0.257,7
Tommy Harper,Right,65-69,69,160 - 179,165,0.257,146
Dave Rader,Left,70-74,71,160 - 179,165,0.257,30
Len Randle,Both,70-74,70,160 - 179,169,0.257,27
Biff Pocoroba,Both,70-74,70,160 - 179,175,0.257,21
Julian Javier,Right,70-74,73,160 - 179,175,0.257,78
Bob Randall,Right,70-74,74,160 - 179,175,0.257,1
Jerry Turner,Left,65-69,69,180-199,180,0.257,45
Rich Dauer,Right,70-74,72,180-199,180,0.257,43
Rick Manning,Left,70-74,73,180-199,180,0.257,56
Bob Bailey,Right,70-74,73,180-199,180,0.257,189
Ken Henderson,Both,70-74,74,180-199,180,0.257,122
Roy Smalley,Both,70-74,73,180-199,185,0.257,163
Tom Haller,Left,75-79,76,180-199,195,0.257,134
Pete LaCock,Left,70-74,74,200-219,200,0.257,27
Gates Brown,Left,70-74,71,220-239,220,0.257,84
Cesar Geronimo,Left,70-74,72,160 - 179,165,0.258,51
Jerry Hairston,Both,70-74,70,160 - 179,170,0.258,30
Joe Lefebvre,Left,70-74,70,160 - 179,170,0.258,31
Lou Johnson,Right,70-74,71,160 - 179,170,0.258,48
Garth Iorg,Right,70-74,71,160 - 179,170,0.258,20
Mike Cubbage,Left,70-74,72,180-199,180,0.258,34
Del Unser,Left,70-74,73,180-199,180,0.258,87
Joe Pepitone,Left,70-74,74,180-199,185,0.258,219
Steve Hovley,Left,70-74,70,180-199,188,0.258,8
Bill Robinson,Right,70-74,74,180-199,189,0.258,166
Duane Josephson,Right,70-74,72,180-199,190,0.258,23
Steve Brye,Right,70-74,72,180-199,190,0.258,30
Bob Montgomery,Right,70-74,73,180-199,195,0.258,23
Mike Andrews,Right,75-79,75,180-199,195,0.258,66
Cliff Johnson,Right,75-79,76,200-219,215,0.258,196
Jerry Morales,Right,70-74,70,140 -159,155,0.259,95
Bert Campaneris,Right,70-74,70,160 - 179,160,0.259,79
Alan Wiggins,Both,70-74,74,160 - 179,160,0.259,5
Rowland Office,Left,70-74,72,160 - 179,170,0.259,32
Hosken Powell,Left,70-74,73,160 - 179,175,0.259,17
Mike Davis,Left,70-74,74,160 - 179,175,0.259,91
Mickey Brantley,Right,70-74,70,180-199,180,0.259,32
Lee Mazzilli,Both,70-74,73,180-199,180,0.259,93
Tony Muser,Left,70-74,74,180-199,180,0.259,7
Ed Ott,Left,70-74,70,180-199,190,0.259,33
Doug DeCinces,Right,70-74,74,180-199,190,0.259,237
Clint Hurdle,Left,75-79,75,180-199,195,0.259,32
Ron Jackson,Right,70-74,72,200-219,200,0.259,56
Al Ferrara,Right,70-74,73,200-219,200,0.259,51
Mark Brouhard,Right,70-74,73,200-219,210,0.259,25
Larry Bowa,Both,70-74,70,140 -159,155,0.260,15
Brock Davis,Left,70-74,70,160 - 179,160,0.260,1
Jim Dwyer,Left,70-74,70,160 - 179,165,0.260,77
Phil Garner,Right,70-74,70,160 - 179,175,0.260,109
Jim Morrison,Right,70-74,71,160 - 179,175,0.260,112
Jim Wohlford,Right,70-74,71,160 - 179,175,0.260,21
Ken Reitz,Right,70-74,72,180-199,180,0.260,68
Julio Gotay,Right,70-74,72,180-199,180,0.260,6
Ed Goodson,Left,75-79,75,180-199,180,0.260,30
Mike Squires,Left,70-74,71,180-199,185,0.260,6
John Stearns,Right,70-74,72,180-199,185,0.260,46
Bobby Valentine,Right,70-74,70,180-199,189,0.260,12
Don Baylor,Right,70-74,73,180-199,190,0.260,338
Art Howe,Right,70-74,74,180-199,190,0.260,43
Greg Walker,Left,75-79,75,200-219,205,0.260,113
Ron Washington,Right,70-74,71,140 -159,155,0.261,20
Jose Tartabull,Left,70-74,71,160 - 179,165,0.261,2
Davey Johnson,Right,70-74,73,160 - 179,170,0.261,136
Don Money,Right,70-74,73,160 - 179,170,0.261,176
Elliott Maddox,Right,70-74,71,180-199,180,0.261,18
Charlie Moore,Right,70-74,71,180-199,180,0.261,36
Ron Cey,Right,70-74,70,180-199,185,0.261,316
Billy North,Both,70-74,71,180-199,185,0.261,20
Roy Howell,Left,70-74,73,180-199,190,0.261,80
Dick Dietz,Right,70-74,73,180-199,195,0.261,66
Bob Chance,Left,70-74,74,180-199,196,0.261,24
Jeff Burroughs,Right,70-74,73,200-219,200,0.261,240
Jason Thompson,Left,75-79,76,200-219,200,0.261,208
Ed Kranepool,Left,75-79,75,200-219,205,0.261,118
Rick Reichardt,Right,75-79,75,200-219,210,0.261,116
Ted Sizemore,Right,70-74,70,160 - 179,165,0.262,23
Willie Upshaw,Left,70-74,72,180-199,185,0.262,123
John Wockenfuss,Right,70-74,72,180-199,190,0.262,86
Reggie Jackson,Left,70-74,72,180-199,195,0.262,563
Scot Thompson,Left,75-79,75,180-199,195,0.262,5
Bill Freehan,Right,75-79,75,200-219,203,0.262,200
John Wathan,Right,70-74,74,200-219,205,0.262,21
Dave Engle,Right,75-79,75,200-219,210,0.262,31
John Ellis,Right,70-74,74,220-239,225,0.262,69
Manny Trillo,Right,70-74,73,140 -159,150,0.263,61
Cookie Rojas,Right,70-74,70,160 - 179,160,0.263,54
Davey Lopes,Right,65-69,69,160 - 179,170,0.263,155
Ed Charles,Right,70-74,70,160 - 179,170,0.263,86
Joe Nolan,Left,70-74,71,160 - 179,175,0.263,27
Bill Russell,Right,70-74,72,160 - 179,175,0.263,46
Al Gallagher,Right,70-74,72,180-199,180,0.263,11
Richie Scheinblum,Both,70-74,73,180-199,180,0.263,13
Bruce Boisclair,Left,70-74,74,180-199,185,0.263,10
Milt May,Left,70-74,72,180-199,190,0.263,77
Ted Uhlaender,Left,70-74,74,180-199,190,0.263,36
Larry Parrish,Right,75-79,75,180-199,190,0.263,256
Don Buford,Both,65-69,67,160 - 179,160,0.264,93
Bob Bailor,Right,70-74,71,160 - 179,170,0.264,9
Bernie Carbo,Left,70-74,71,160 - 179,173,0.264,96
Jim Norris,Left,70-74,70,160 - 179,175,0.264,7
Toby Harrah,Right,70-74,72,160 - 179,175,0.264,195
Phil Mankowski,Left,70-74,72,180-199,180,0.264,8
Chuck Hinton,Right,70-74,73,180-199,180,0.264,113
Junior Moore,Right,70-74,71,180-199,185,0.264,7
Ken Retzer,Left,70-74,72,180-199,185,0.264,14
Pat Kelly,Left,70-74,73,180-199,185,0.264,76
Tony Conigliaro,Right,75-79,75,180-199,185,0.264,166
Eric Soderholm,Right,70-74,71,180-199,187,0.264,102
Bob Molinaro,Left,70-74,72,180-199,190,0.264,14
Rick Monday,Left,75-79,75,180-199,193,0.264,241
Joe Rudi,Right,70-74,74,200-219,200,0.264,179
Oscar Gamble,Left,70-74,71,160 - 179,160,0.265,200
Miguel Dilone,Both,70-74,72,160 - 179,160,0.265,6
Rich Coggins,Left,65-69,68,160 - 179,170,0.265,12
Bobby Tolan,Left,70-74,71,160 - 179,170,0.265,86
Ollie Brown,Right,70-74,74,160 - 179,178,0.265,102
Joel Youngblood,Right,70-74,72,180-199,180,0.265,80
Jim Holt,Left,70-74,72,180-199,180,0.265,19
Ron Oester,Both,70-74,74,180-199,185,0.265,42
Daryl Sconiers,Left,70-74,74,180-199,185,0.265,15
Bombo Rivera,Right,70-74,70,180-199,187,0.265,10
Jim Fregosi,Right,70-74,73,180-199,190,0.265,151
Dick Davis,Right,75-79,75,180-199,190,0.265,27
Mike Brown,Right,70-74,74,180-199,195,0.265,23
Dave Revering,Left,75-79,76,200-219,210,0.265,62
Reid Nichols,Right,70-74,71,160 - 179,165,0.266,22
Bump Wills,Both,65-69,69,160 - 179,172,0.266,36
Wayne Krenchicki,Left,70-74,73,180-199,180,0.266,15
Bobby Grich,Right,70-74,74,180-199,180,0.266,224
Gail Hopkins,Left,70-74,70,180-199,198,0.266,25
Jeffrey Leonard,Right,70-74,74,200-219,200,0.266,144
Carl Taylor,Right,70-74,74,200-219,200,0.266,10
Mitchell Page,Left,70-74,74,200-219,205,0.266,72
Joe Charboneau,Right,70-74,74,200-219,205,0.266,29
Boog Powell,Left,75-79,76,220-239,230,0.266,339
Dave Concepcion,Right,70-74,74,140 -159,155,0.267,101
Barbaro Garbey,Right,70-74,70,160 - 179,170,0.267,11
Bill Stein,Right,70-74,70,160 - 179,170,0.267,44
Bubba Morton,Right,70-74,70,160 - 179,175,0.267,14
Jay Johnstone,Left,70-74,73,160 - 179,175,0.267,102
Wes Parker,Both,70-74,73,180-199,180,0.267,64
Dan Driessen,Left,70-74,71,180-199,187,0.267,153
R.J. Reynolds,Both,70-74,72,180-199,190,0.267,35
Jim Northrup,Left,75-79,75,180-199,190,0.267,153
Mike Schmidt,Right,70-74,74,180-199,195,0.267,548
Lee May,Right,75-79,75,180-199,195,0.267,354
Johnny Bench,Right,70-74,73,180-199,197,0.267,389
Leon Roberts,Right,75-79,75,200-219,200,0.267,78
Ken Landreaux,Left,70-74,70,160 - 179,165,0.268,91
David Green,Right,75-79,75,160 - 179,170,0.268,31
Tom Poquette,Left,70-74,70,160 - 179,175,0.268,10
Tito Fuentes,Both,70-74,71,160 - 179,175,0.268,45
Rick Leach,Left,70-74,73,180-199,180,0.268,18
Bobby Bonds,Right,70-74,73,180-199,190,0.268,332
Willie Crawford,Left,70-74,73,180-199,197,0.268,86
George Vukovich,Left,70-74,72,180-199,198,0.268,27
George Scott,Right,70-74,74,200-219,200,0.268,271
Tony Horton,Right,75-79,75,200-219,210,0.268,76
Tommy Helms,Right,70-74,70,160 - 179,165,0.269,34
Rick Miller,Left,70-74,72,160 - 179,175,0.269,28
Rich Rollins,Right,70-74,70,180-199,185,0.269,77
Chris Brown,Right,70-74,72,180-199,185,0.269,38
Ron Pruitt,Right,70-74,72,180-199,185,0.269,12
Mike Ivie,Right,75-79,75,200-219,205,0.269,81
Jack Perconte,Left,70-74,70,160 - 179,160,0.270,2
Walt Williams,Right,65-69,66,160 - 179,165,0.270,33
Alan Bannister,Right,70-74,71,160 - 179,170,0.270,19
Rufino Linares,Right,70-74,72,160 - 179,170,0.270,11
Tim Corcoran,Left,70-74,71,160 - 179,175,0.270,12
Dan Ford,Right,70-74,73,180-199,185,0.270,121
Paul Dade,Right,70-74,73,180-199,185,0.270,10
Al Cowens,Right,70-74,73,180-199,197,0.270,108
Joe Morgan,Left,65-69,67,160 - 179,160,0.271,268
Roy White,Both,70-74,70,160 - 179,160,0.271,160
Sixto Lezcano,Right,70-74,70,160 - 179,165,0.271,148
Rudy Law,Left,70-74,73,160 - 179,165,0.271,18
Duane Kuiper,Left,70-74,72,160 - 179,175,0.271,1
Dave Stapleton,Right,70-74,73,160 - 179,178,0.271,41
Steve Braun,Left,70-74,70,180-199,180,0.271,52
Broderick Perkins,Left,70-74,70,180-199,180,0.271,8
Ray Knight,Right,70-74,73,180-199,185,0.271,84
Merv Rettenmund,Right,70-74,70,180-199,190,0.271,66
Al Woods,Left,75-79,75,180-199,190,0.271,35
Willie Aikens,Left,75-79,75,220-239,220,0.271,110
Bill Sample,Right,65-69,69,160 - 179,175,0.272,46
Bob Johnson,Right,70-74,70,160 - 179,175,0.272,44
Dave Collins,Both,70-74,71,160 - 179,175,0.272,32
Thad Bosley,Left,75-79,75,160 - 179,175,0.272,20
Manny Jimenez,Left,70-74,73,180-199,185,0.272,26
Barry Bonnell,Right,75-79,75,180-199,190,0.272,56
Ben Oglivie,Left,70-74,74,160 - 179,160,0.273,235
Rick Burleson,Right,70-74,70,160 - 179,165,0.273,50
Von Joshua,Left,70-74,70,160 - 179,170,0.273,30
Ron Hunt,Right,70-74,72,180-199,186,0.273,39
Chet Lemon,Right,70-74,72,180-199,190,0.273,215
Larry Hisle,Right,70-74,74,180-199,193,0.273,166
Larry Biittner,Left,70-74,74,200-219,205,0.273,29
Willie Horton,Right,70-74,71,200-219,209,0.273,325
Juan Beniquez,Right,70-74,71,140 -159,150,0.274,79
Rennie Stennett,Right,70-74,71,160 - 179,160,0.274,41
Gene Locklear,Left,70-74,70,160 - 179,165,0.274,9
George Foster,Right,70-74,73,180-199,180,0.274,348
Darrell Brown,Both,70-74,72,180-199,184,0.274,1
Steve Ontiveros,Both,70-74,72,180-199,185,0.274,24
Terry Francona,Left,70-74,73,180-199,190,0.274,16
Larry Herndon,Right,75-79,75,180-199,190,0.274,107
Carlos May,Left,70-74,71,200-219,200,0.274,90
Donn Clendenon,Right,75-79,76,200-219,209,0.274,159
Jose Cardenal,Right,70-74,70,140 -159,150,0.275,138
Jerry Remy,Left,65-69,69,160 - 179,165,0.275,7
Willie Montanez,Left,70-74,72,160 - 179,170,0.275,139
Danny Cater,Right,70-74,72,160 - 179,170,0.276,66
Dane Iorg,Left,70-74,72,180-199,180,0.276,14
Richie Hebner,Left,70-74,73,180-199,195,0.276,203
Gary Ward,Right,70-74,74,180-199,195,0.276,130
Greg Luzinski,Right,70-74,73,220-239,220,0.276,307
Bobby Murcer,Left,70-74,71,160 - 179,160,0.277,252
Amos Otis,Right,70-74,71,160 - 179,165,0.277,193
Gene Clines,Right,65-69,69,160 - 179,170,0.277,5
Rick Peters,Both,65-69,69,160 - 179,170,0.277,2
Enos Cabell,Right,75-79,76,160 - 179,170,0.277,60
Jeff Stone,Left,70-74,72,160 - 179,175,0.277,11
Leon Durham,Left,70-74,73,180-199,185,0.277,147
Ron Santo,Right,70-74,72,180-199,190,0.277,342
Bob Horner,Right,70-74,73,180-199,195,0.277,218
Cesar Tovar,Right,65-69,69,140 -159,155,0.278,46
Jorge Orta,Left,70-74,70,160 - 179,170,0.278,130
John Castino,Right,70-74,71,160 - 179,175,0.278,41
Johnny Grubb,Left,75-79,75,160 - 179,175,0.278,99
Dusty Baker,Right,70-74,74,180-199,183,0.278,242
Jim Ray Hart,Right,70-74,71,180-199,185,0.278,170
Claudell Washington,Left,70-74,72,180-199,190,0.278,164
Steve Kemp,Left,70-74,72,180-199,195,0.278,130
George Hendrick,Right,75-79,75,180-199,195,0.278,267
Ellis Valentine,Right,75-79,76,200-219,205,0.278,123
Vic Davalillo,Left,65-69,67,140 -159,150,0.279,36
Felix Millan,Right,70-74,71,160 - 179,172,0.279,22
Tony Perez,Right,70-74,74,160 - 179,175,0.279,379
Mike Vail,Right,70-74,73,180-199,180,0.279,34
Buddy Bell,Right,70-74,73,180-199,180,0.279,201
Willie Davis,Left,70-74,74,180-199,180,0.279,182
Keith Moreland,Right,70-74,72,180-199,190,0.279,121
Rusty Staub,Left,70-74,74,180-199,190,0.279,292
Chris Chambliss,Left,70-74,73,180-199,195,0.279,185
Glenn Adams,Left,70-74,73,180-199,180,0.280,34
Jesus Alou,Right,70-74,74,180-199,190,0.280,32
Steve Henderson,Right,70-74,74,180-199,190,0.280,68
Mickey Hatcher,Right,70-74,74,200-219,200,0.280,38
Al Bumbry,Left,65-69,68,160 - 179,170,0.281,54
Cleon Jones,Right,70-74,72,180-199,185,0.281,93
Gary Matthews,Right,70-74,74,180-199,185,0.281,234
Terry Whitfield,Left,70-74,73,180-199,197,0.281,33
Willie Stargell,Left,70-74,74,180-199,188,0.282,475
Bruce Bochte,Left,75-79,75,180-199,195,0.282,100
Wayne Nordhagen,Right,70-74,74,200-219,205,0.282,39
Ken Singleton,Both,75-79,76,200-219,210,0.282,246
Tom Paciorek,Right,75-79,76,200-219,215,0.282,86
Damaso Garcia,Right,70-74,73,160 - 179,165,0.283,36
Dave Cash,Right,70-74,71,160 - 179,170,0.283,21
Floyd Robinson,Left,65-69,69,160 - 179,175,0.283,67
Fred Lynn,Left,70-74,73,180-199,185,0.283,306
Glenn Beckert,Right,70-74,73,180-199,190,0.283,22
Jose Cruz,Left,70-74,72,160 - 179,170,0.284,165
Carl Yastrzemski,Left,70-74,71,160 - 179,175,0.285,452
Cesar Cedeno,Right,70-74,74,160 - 179,175,0.285,199
Garry Maddox,Right,75-79,75,160 - 179,175,0.285,117
Ted Simmons,Both,70-74,71,180-199,193,0.285,248
Tony Gonzalez,Left,65-69,69,160 - 179,170,0.286,103
Lee Lacy,Right,70-74,73,160 - 179,175,0.286,91
Phil Bradley,Right,70-74,72,180-199,185,0.286,78
Greg Gross,Left,70-74,70,160 - 179,160,0.287,7
Reggie Smith,Both,70-74,72,180-199,180,0.287,314
Jose Morales,Right,70-74,71,180-199,187,0.287,26
Richie Zisk,Right,70-74,73,200-219,200,0.287,207
Lamar Johnson,Right,70-74,74,200-219,215,0.287,64
Ron LeFlore,Right,70-74,72,200-219,200,0.288,59
Alex Johnson,Right,70-74,72,200-219,205,0.288,78
Bill Buckner,Left,70-74,72,180-199,185,0.289,174
Jerry Mumphrey,Both,70-74,74,180-199,185,0.289,70
Johnny Ray,Both,70-74,71,160 - 179,170,0.290,53
Gene Richards,Left,70-74,72,160 - 179,175,0.290,26
Hal McRae,Right,70-74,71,180-199,180,0.290,191
Mike Hargrove,Left,70-74,72,180-199,195,0.290,80
Lou Piniella,Right,70-74,72,180-199,182,0.291,102
Dick Allen,Right,70-74,71,180-199,187,0.292,351
Thurman Munson,Right,70-74,71,180-199,190,0.292,113
Lou Brock,Left,70-74,71,160 - 179,170,0.293,149
Mike Easler,Left,70-74,72,180-199,190,0.293,118
Ron Blomberg,Left,70-74,73,180-199,195,0.293,52
Steve Garvey,Right,70-74,70,180-199,192,0.294,272
Mickey Rivers,Left,70-74,70,160 - 179,165,0.295,61
Bob Watson,Right,70-74,72,200-219,201,0.295,184
Keith Hernandez,Left,70-74,72,180-199,180,0.296,162
Manny Sanguillen,Right,70-74,72,180-199,193,0.296,65
Joe Torre,Right,70-74,74,200-219,212,0.297,252
Cecil Cooper,Left,70-74,74,160 - 179,165,0.298,241
Jim Rice,Right,70-74,74,200-219,200,0.298,382
Bake McBride,Left,70-74,74,180-199,190,0.299,63
Rico Carty,Right,75-79,75,200-219,200,0.299,204
Pete Rose,Both,70-74,71,180-199,192,0.303,160
Al Oliver,Left,70-74,72,180-199,195,0.303,219
Manny Mota,Right,70-74,70,160 - 179,160,0.304,31
Tony Oliva,Left,70-74,73,160 - 179,175,0.304,220
Bill Madlock,Right,70-74,71,180-199,180,0.305,163
Ralph Garr,Left,70-74,71,180-199,185,0.306,75
Matty Alou,Left,65-69,69,160 - 179,160,0.307,31
Lyman Bostock,Left,70-74,73,180-199,180,0.311,23
Rod Carew,Left,70-74,72,160 - 179,170,0.328,92
